net,length_um
clknet_0_clk,855.84
_07269_,689.99
_07265_,676.84
_07274_,672.12
net28,670.1
_07267_,639.68
net12,609.56
_07249_,597.94
net29,597.86
net31,563.16
_07275_,547.315
net3,510.78
_07262_,505.63
_07259_,500.375
_07272_,493.59
_07250_,480.25
net4,479.62
net23,465.37
net9,464.16
_01070_,463.5
_07257_,458.57
_07280_,455.415
_07253_,446.735
_07261_,443.82
_01546_,440.18
_02603_,431.76
_01106_,427.51
_01909_,426.86
_01387_,425.23
clk,422.53
net13,417.49
_01485_,416.62
_07282_,416.3
clknet_3_6__leaf_clk,414.845
_01069_,410.42
_01659_,409.19
_01104_,404.35
_01606_,397.69
_07268_,395.11
_01693_,394.62
net37,383.2
_00893_,376.405
_01914_,367.2
net33,367.06
net43,365.15
clknet_3_7__leaf_clk,358.17
_07264_,354.62
clknet_3_3__leaf_clk,348.765
net2,347.61
_07287_,342.01
_00841_,339.36
net36,336.73
net39,336.49
_01121_,336.12
net38,336.04
_00945_,334.805
_01441_,333.52
_01763_,331.015
net6,329.16
net15,326.06
_07258_,323.32
net35,321.22
_01066_,321.04
_01893_,318.02
_02635_,316.92
clknet_3_5__leaf_clk,315.01
net10,311.84
_01895_,311.02
_07288_,309.33
_01063_,309.245
_02509_,309.08
_00946_,303.12
acc\[14\]\[28\],299.785
_07266_,299.67
net16,299.28
_07271_,295.29
_07254_,295
_01147_,291.21
_01077_,289.64
_00931_,289.46
net1,287.18
_01027_,286.58
_07251_,286.48
_01327_,286.03
_07263_,285.75
_01061_,284.12
_01901_,283.625
_04705_,281.32
_07270_,280.99
_01065_,280.255
_07285_,280.015
_01088_,279.25
_01227_,277.96
clknet_3_0__leaf_clk,276.22
_07260_,274.5
_02527_,272.98
clknet_3_2__leaf_clk,269.74
net44,268.5
_00340_,268.495
clknet_3_4__leaf_clk,267.38
_00000_,262.605
_07273_,262.6
_01073_,261.33
_07256_,257.84
_00839_,254.88
net40,249.34
_00700_,244.07
net5,243.83
clknet_3_1__leaf_clk,242.78
_01649_,241.6
_01026_,241.26
_01274_,239.88
_07277_,238.775
_00929_,235.64
_01702_,233.95
_07283_,233.84
_00849_,233.24
net19,231.14
_01797_,231.08
_01808_,230.51
_07276_,229.76
_01326_,225.7
_01700_,225.665
_01478_,224.48
_00836_,223.18
_01275_,222.33
_00323_,222.04
_00894_,221.235
_01123_,220.36
_07255_,219.635
_00911_,218.62
_01011_,215.42
_07279_,214.5
net11,213.82
net7,212.14
_01432_,211.52
_02271_,210.36
_01477_,207.68
_01539_,207.47
_01276_,207.39
net24,206.54
_07278_,201.46
net26,201.08
_00322_,200.25
_07252_,199.5
_00837_,198.94
_06420_,196.6
_06435_,196.45
_00862_,194.515
_01378_,193.76
net34,190.98
_06450_,190.92
_05408_,188.18
_00876_,187.74
net45,187.24
_02278_,186.26
_01433_,185.72
_06465_,185.4
_01043_,184.66
acc\[9\]\[19\],184.26
_01217_,183.34
_02262_,182.38
_06799_,182.01
_00448_,181.95
_06486_,181.54
_04019_,180.9
_07286_,178.8
_07284_,178.72
net42,178.26
_01650_,178.135
_01809_,177.77
_05957_,175.535
_01064_,175.18
_02561_,174.17
_00057_,173.38
_02857_,172.94
_07281_,172.465
_00031_,171.64
_03096_,171.48
_04708_,169.86
_00032_,169.08
_00851_,168.98
_01215_,168.12
_02588_,166.58
_06403_,166.56
_06463_,166.5
_06583_,166.1
_00056_,165.58
_01652_,164.5
_00943_,164.265
_04673_,164.2
_02546_,163.78
_01060_,162.04
_02587_,161.04
acc\[9\]\[16\],160.15
_01216_,157.68
_02215_,157.44
_00002_,157.32
_01062_,156.52
_01148_,156.4
_02126_,156.32
_01377_,155.74
acc\[14\]\[30\],155.06
net82,155.04
acc\[9\]\[14\],154.46
_02232_,153.62
_01091_,148.8
_00197_,148.58
acc\[9\]\[18\],148.29
_02199_,148.13
clknet_leaf_0_clk,146.99
acc\[9\]\[15\],146.96
acc\[9\]\[17\],146.62
net32,146.48
_04946_,142.88
clknet_leaf_32_clk,142.68
acc\[3\]\[20\],142.36
_00315_,142.26
_02234_,141.9
_06578_,141.88
_06930_,139.21
_01178_,138.5
_01052_,138.24
_01892_,137.97
_01179_,137.16
_02928_,134.86
_02027_,133.79
_05982_,133.6
_00205_,132.96
_06390_,132.14
_00034_,131.86
_00910_,131.26
_01103_,131
_01435_,130.36
_04707_,130.36
_03155_,130.16
_01538_,130
_03649_,126.3
_00313_,125.6
_04635_,125.2
net8,124.9
_01008_,124.56
_00995_,124.45
_07004_,124.115
net25,123.94
_01328_,123.64
_00342_,123.22
_00968_,122.82
_06517_,122.6
_01059_,121.46
_01180_,121.31
clknet_leaf_51_clk,121.12
_03186_,120.67
_00962_,120.54
_04144_,120.54
_00976_,120.18
clknet_leaf_21_clk,120.12
clknet_leaf_68_clk,118.66
_06540_,118.34
_03844_,117.76
_00321_,117.65
_00341_,117.16
_00977_,115.58
_00970_,115.39
net21,115.36
clknet_leaf_40_clk,114.88
net27,114.8
_02059_,114.44
_05132_,112.24
_04828_,111.42
clknet_leaf_3_clk,110.96
_00982_,110.68
_01894_,110.42
_01025_,110.08
_02236_,109.34
clknet_leaf_7_clk,109.02
_01085_,107.86
_01597_,107.74
clknet_leaf_35_clk,107.72
_02246_,107.64
_06973_,107.04
_00935_,106.78
_02484_,106.56
_06557_,106.44
clknet_leaf_29_clk,106.26
clknet_leaf_17_clk,106.22
_03379_,105.84
_06499_,105.82
_02690_,105.64
_00928_,105.6
_04760_,105.51
net30,104.84
_02130_,104.71
_00984_,104.04
_01045_,104
_05017_,103.535
net41,103.32
